--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
079.634  000.004  000.004: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
079.653  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
080.494  000.105  000.105: require('actions-preview.backend')
080.589  000.091  000.091: require('actions-preview.config')
080.683  000.090  000.090: require('actions-preview.action')
080.687  001.030  000.744: require('actions-preview')
081.017  000.089  000.089: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/editorconfig.lua
081.029  000.192  000.103: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
081.243  000.121  000.121: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/gzip.vim
081.250  000.216  000.095: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
081.431  000.087  000.087: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/man.lua
081.440  000.183  000.096: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
082.357  000.023  000.023: require('vim.F')
082.728  000.162  000.162: sourcing C:\Program Files\Neovim\share\nvim\runtime\pack\dist\opt\matchit\plugin\matchit.vim
082.761  001.232  001.047: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/matchit.vim
082.768  001.323  000.091: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
082.973  000.107  000.107: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/matchparen.vim
082.981  000.204  000.098: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
084.250  000.216  000.216: sourcing C:\Program Files\Neovim\share\nvim\runtime\pack\dist\opt\netrw\plugin\netrwPlugin.vim
084.282  001.181  000.965: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/netrwPlugin.vim
084.289  001.281  000.100: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
084.488  000.091  000.091: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/osc52.lua
084.498  000.202  000.111: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
084.880  000.272  000.272: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/rplugin.vim
084.908  000.396  000.124: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
085.062  000.051  000.051: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/shada.vim
085.070  000.155  000.104: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
085.202  000.025  000.025: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/spellfile.vim
085.209  000.133  000.108: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
085.369  000.065  000.065: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/tarPlugin.vim
085.376  000.162  000.097: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
085.564  000.086  000.086: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/tohtml.lua
085.573  000.192  000.106: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
085.698  000.025  000.025: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/tutor.vim
085.704  000.126  000.101: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
085.889  000.086  000.086: sourcing C:\Program Files\Neovim\share/nvim/runtime/plugin/zipPlugin.vim
085.895  000.187  000.101: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
086.077  067.637  032.257: require('config.lazy')
086.336  000.007  000.007: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
